,pack,level_id,question,question_r,solution_r,solution_nl,solution_tool,solution_symbol,initial_symbol
17,Beta,https://euclidea.fandom.com/wiki/Drop_a_Perpendicular,"Description: Drop a perpendicular from the point to the line.Let O be the point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Drop a perpendicular from the point to the line.Let O be the point.
Solution: ","Construct a circle with center O and an arbitrary radius so that it intersects the line at two points A and B
Construct the perpendicular bisector of AB
Rationale: Solution 2L has you construct an arbitrary isosceles triangle ABO with O as its apex. The perpendicular bisector of its base will pass through its apex and therefore will answer the puzzle.
","<Line Tool>Construct a circle with center O and an arbitrary radius so that it intersects the line at two points A and B
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB","['Line Tool', 'Perpendicular Bisector Tool']","[['O'], ['B', 'A'], ['AB']]",['O']
18,Beta,https://euclidea.fandom.com/wiki/Erect_a_Perpendicular,"Description: Erect a perpendicular from the point on the line.Let O be the point, and A and B two arbitrary points on the line so that O is between them.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Erect a perpendicular from the point on the line.Let O be the point, and A and B two arbitrary points on the line so that O is between them.
Solution: ","Construct the angle bisector of  angle AOB
Rationale: Solution 1L is simple as a line is an angle of 180°, so its angle bisector will divide it into two angles of 90° and will therefore be perpendicular to it. Just have the vertex of the 180° angle be point O.
",<Angle Bisector Tool>Construct the angle bisector of  angle AOB,['Angle Bisector Tool'],"[['O', 'A', 'B', 'O'], ['AOB']]","['O', 'A', 'B', 'O']"
19,Beta,https://euclidea.fandom.com/wiki/Perpendicular_Tool,"Description: You have discovered the Perpendicular tool. Click on the line, then on the point.Let A be a line and B be a point, whether B is on or off line A (the level shows B off of A).
Tool List: ['Perpendicular Tool']
Solution: ","Description: You have discovered the Perpendicular tool. Click on the line, then on the point.Let A be a line and B be a point, whether B is on or off line A (the level shows B off of A).
Solution: ","With the perpendicular tool active, select the line, then the point.
Rationale: The perpendicular tool works by either clicking on a point then on a line; or by clicking on a line and then a point; or by click-and-drag on a line and releasing on a point.  Before the final action, the tool gives a visualization of where the perpendicular will appear.  The tool works whether or not the point is on the line (the elementary actions to drop a perpendicular are different than the actions to erect a perpendicular, but since both cost 3E, this tool performs both).  The tool is unable to erect a perpendicular to an implied line (that is, knowing two points that form a line is not enough, at least a portion of the line itself has to already be constructed); however, it can construct a perpendicular that does not intersect the ray or line segment selected as the line without having to extend that segment.
","<Perpendicular Tool>With the perpendicular tool active, select the line, then the point.",['Perpendicular Tool'],"[['A', 'B', 'B', 'A', 'B', 'A'], []]","['A', 'B', 'B', 'A', 'B', 'A']"
20,Beta,https://euclidea.fandom.com/wiki/Tangent_to_Circle_at_Point,"Description: Construct a tangent to the circle at the given point.Let O be the center of the circle and A the point on it.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a tangent to the circle at the given point.Let O be the center of the circle and A the point on it.
Solution: ","Construct line OA
Construct the perpendicular to the line OA from point A
Rationale: Solution 2L is easy as a tangent is simply a line perpendicular to a radius at a point on the circle.
","<Line Tool>Construct line OA
<Perpendicular Tool>Construct the perpendicular to the line OA from point A","['Line Tool', 'Perpendicular Tool']","[['O', 'A'], ['OA'], []]","['O', 'A']"
21,Beta,https://euclidea.fandom.com/wiki/Circle_Tangent_to_Line,"Description: Construct a circle with the given center that is tangent to the given line.Let O be the center.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a circle with the given center that is tangent to the given line.Let O be the center.
Solution: ","Construct the perpendicular to the line from point O, intersecting the line at A
Construct the circle with center O and radius OA
Rationale: A tangent is a line perpendicular to a radius at the point of tangency on the circle.
","<Perpendicular Tool>Construct the perpendicular to the line from point O, intersecting the line at A
<Circle Tool>Construct the circle with center O and radius OA","['Perpendicular Tool', 'Circle Tool']","[['O'], ['A'], ['OA']]",['O']
22,Beta,https://euclidea.fandom.com/wiki/Circle_in_Rhombus,"Description: Inscribe a circle in the rhombus.Given the rhombus ABCD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Inscribe a circle in the rhombus.Given the rhombus ABCD.
Solution: ","Construct line AC, a diagonal of the rhombus
Construct line BD, the other diagonal of the rhombus, intersecting AC at O
Construct the perpendicular to AB through O, intersecting AB at E
Construct the circle with center O radius OE
Rationale: In a rhombus, the inscribed circle is a circle with the same center as the rhombus and tangent to its sides. Tracing the diagonals gives you the center, then tracing the perpendicular to any of its sides through the center gives you the radius.
","<Line Tool>Construct line AC, a diagonal of the rhombus
<Line Tool>Construct line BD, the other diagonal of the rhombus, intersecting AC at O
<Perpendicular Tool>Construct the perpendicular to AB through O, intersecting AB at E
<Circle Tool>Construct the circle with center O radius OE","['Line Tool', 'Line Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABCD'], ['AC'], ['O', 'BD'], ['AB', 'E'], ['OE']]",['ABCD']
23,Gamma,https://euclidea.fandom.com/wiki/Chord_Midpoint,"Description: Construct a chord whose midpoint is given.Let A be the center and B the given midpoint.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a chord whose midpoint is given.Let A be the center and B the given midpoint.
Solution: ","Construct line AB
Construct the perpendicular to AB through B
Rationale: The perpendicular bisector of any chord passes through the center of the circle. Line AB being that perpendicular bisector, the chord is simply the segment that's perpendicular to it and passes through the midpoint.
","<Line Tool>Construct line AB
<Perpendicular Tool>Construct the perpendicular to AB through B","['Line Tool', 'Perpendicular Tool']","[['A', 'B'], ['AB'], []]","['A', 'B']"
24,Gamma,https://euclidea.fandom.com/wiki/Triangle_by_Angle_and_Orthocenter,"Description: Construct a segment connecting the sides of the angle to get a triangle whose orthocenter is in the point O.Let A be the vertex of the angle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a segment connecting the sides of the angle to get a triangle whose orthocenter is in the point O.Let A be the vertex of the angle.
Solution: ","Construct the perpendicular to one side R1 of the angle through O, intersecting the second side at A
Construct the perpendicular to the second side R2 of the angle through O, intersecting the first side at B
Construct line AB
Rationale: O is the orthocenter and so is the point where the altitudes of the triangle intersect. The perpendicular to any side that passes through O is therefore an altitude and passes through the vertex opposite to that side.
","<Perpendicular Tool>Construct the perpendicular to one side R1 of the angle through O, intersecting the second side at A
<Perpendicular Tool>Construct the perpendicular to the second side R2 of the angle through O, intersecting the first side at B
<Line Tool>Construct line AB","['Perpendicular Tool', 'Perpendicular Tool', 'Line Tool']","[['O', 'A'], [], ['B'], ['AB']]","['O', 'A']"
25,Gamma,https://euclidea.fandom.com/wiki/Intersection_of_Perpendicular_Bisectors,"Description: Construct a segment connecting the sides of the angle to get a triangle whose perpendicular bisectors are intersected in the point O.Let A be the vertex of the angle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a segment connecting the sides of the angle to get a triangle whose perpendicular bisectors are intersected in the point O.Let A be the vertex of the angle.
Solution: ","Construct the circle with center O and radius OA, intersecting the sides of the angle at B and C
Construct line BC
Rationale: The point O is the circumcenter of the triangle, which means that there's a circle with center O that passes through all three vertices of the triangle. You know the center and you know the radius.
","<Circle Tool>Construct the circle with center O and radius OA, intersecting the sides of the angle at B and C
<Line Tool>Construct line BC","['Circle Tool', 'Line Tool']","[['O', 'A'], ['B', 'C', 'OA'], ['BC']]","['O', 'A']"
26,Gamma,https://euclidea.fandom.com/wiki/Three_equal_segments_-_1,"Description: Given an angle ABC and a point M inside it, find points D on BA and E on BC and construct segments DM and ME such that BD = DM = ME.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Given an angle ABC and a point M inside it, find points D on BA and E on BC and construct segments DM and ME such that BD = DM = ME.
Solution: ","Construct the perpendicular bisector of BM, intersecting AB at D
Construct the circle with center M and radius DM, intersecting BC at E and F
Construct line DM
Construct line ME
Rationale: Point D is easy. Since it's equidistant to both B and M, then it must be on their perpendicular bisector.
","<Perpendicular Tool>Construct the perpendicular bisector of BM, intersecting AB at D
<Circle Tool>Construct the circle with center M and radius DM, intersecting BC at E and F
<Line Tool>Construct line DM
<Line Tool>Construct line ME","['Perpendicular Tool', 'Circle Tool', 'Line Tool', 'Line Tool']","[['ABC', 'M', 'D', 'BA', 'E', 'BC', 'DM', 'ME', 'BD', 'DM', 'ME'], ['AB', 'BM'], ['F'], [], []]","['ABC', 'M', 'D', 'BA', 'E', 'BC', 'DM', 'ME', 'BD', 'DM', 'ME']"
27,Gamma,https://euclidea.fandom.com/wiki/Circle_through_Point_Tangent_to_Line,"Description: Construct a circle through the point A that is tangent to the given line at the point B.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","Description: Construct a circle through the point A that is tangent to the given line at the point B.
Solution: ","Construct the perpendicular bisector of AB
Construct the perpendicular to the line from B, intersecting the perpendicular bisector at O
Construct the circle with center O and radius OA (or OB)
Rationale: The center has to be on the perpendicular bisector of AB since OA=OB and on the perpendicular to the line from B since the line is tangent to it at B.
","<Perpendicular Tool>Construct the perpendicular bisector of AB
<Perpendicular Tool>Construct the perpendicular to the line from B, intersecting the perpendicular bisector at O
<Circle Tool>Construct the circle with center O and radius OA (or OB)","['Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['A', 'B'], ['AB'], ['O'], ['OB', 'OA']]","['A', 'B']"
